frame_idx,timestamp,capture_ms,yolov8_ms,yoloworld_ms,annotate_ms
0,2026-06-02T15:42:27,561.944,338.160,321.245,14.021
1,2026-06-02T15:42:28,6.202,82.019,173.224,4.774
2,2026-06-02T15:42:28,3.722,76.963,169.628,4.001
3,2026-06-02T15:42:28,5.787,61.592,192.237,4.216
4,2026-06-02T15:42:29,3.327,95.933,175.217,9.326
5,2026-06-02T15:42:29,2.565,64.775,179.856,4.302
6,2026-06-02T15:42:29,3.376,84.988,183.593,4.251
7,2026-06-02T15:42:29,2.706,74.014,187.344,3.788
8,2026-06-02T15:42:30,3.947,75.259,182.713,6.161
9,2026-06-02T15:42:30,4.258,78.936,190.513,4.168
10,2026-06-02T15:42:30,5.026,76.328,166.081,3.766
11,2026-06-02T15:42:30,2.657,63.569,159.752,3.511
12,2026-06-02T15:42:31,2.698,60.322,169.796,3.984
13,2026-06-02T15:42:31,5.071,74.299,170.374,4.915
14,2026-06-02T15:42:31,2.856,72.425,165.549,3.806
15,2026-06-02T15:42:31,2.583,81.726,226.632,6.010
16,2026-06-02T15:42:32,2.046,102.386,267.063,5.337
17,2026-06-02T15:42:32,10.274,173.965,322.901,5.888
18,2026-06-02T15:42:33,2.784,173.931,300.210,5.893
19,2026-06-02T15:42:33,14.321,153.801,308.194,5.870
0,2026-06-02T16:51:57,3.247,302.271,216.068,11.248
1,2026-06-02T16:51:57,58.044,49.920,130.275,5.545
2,2026-06-02T16:51:57,21.071,49.948,123.464,5.322
3,2026-06-02T16:51:58,60.750,52.516,127.531,5.630
4,2026-06-02T16:51:58,63.771,54.824,121.003,5.172
5,2026-06-02T16:51:58,55.016,61.476,124.595,5.752
6,2026-06-02T16:51:58,57.190,56.686,121.673,5.925
7,2026-06-02T16:51:58,58.109,49.773,115.713,6.854
8,2026-06-02T16:51:58,3.036,46.053,120.833,5.857
9,2026-06-02T16:51:59,3.717,49.086,122.016,5.865
10,2026-06-02T16:51:59,59.122,45.487,126.352,5.417
11,2026-06-02T16:51:59,3.032,48.038,116.326,5.963
12,2026-06-02T16:51:59,59.416,51.328,119.462,6.184
13,2026-06-02T16:51:59,3.151,52.729,133.388,5.297
14,2026-06-02T16:52:00,3.305,48.538,119.395,5.685
15,2026-06-02T16:52:00,59.285,50.492,123.683,5.299
16,2026-06-02T16:52:00,3.118,52.040,126.051,5.850
17,2026-06-02T16:52:00,57.986,44.800,122.409,5.746
18,2026-06-02T16:52:00,51.662,56.290,127.961,5.324
19,2026-06-02T16:52:00,56.271,46.896,121.870,5.473
20,2026-06-02T16:52:01,2.959,56.661,124.709,5.178
21,2026-06-02T16:52:01,5.010,50.556,116.801,6.103
22,2026-06-02T16:52:01,58.697,52.021,124.196,5.669
23,2026-06-02T16:52:01,3.438,52.513,121.148,5.466
24,2026-06-02T16:52:01,319.203,45.816,125.291,5.467
25,2026-06-02T16:52:02,22.017,50.808,122.628,5.851
26,2026-06-02T16:52:02,62.320,52.665,121.611,5.748
27,2026-06-02T16:52:02,3.329,51.153,123.384,6.482
28,2026-06-02T16:52:02,3.303,53.596,120.419,5.827
29,2026-06-02T16:52:02,51.807,45.187,121.014,6.581
30,2026-06-02T16:52:03,58.609,54.828,115.023,5.806
31,2026-06-02T16:52:03,115.412,55.503,122.291,5.933
32,2026-06-02T16:52:03,3.124,56.821,117.861,5.324
33,2026-06-02T16:52:03,98.111,49.998,122.926,6.157
34,2026-06-02T16:52:03,3.265,50.158,127.461,5.193
35,2026-06-02T16:52:03,57.597,52.172,121.994,5.676
36,2026-06-02T16:52:04,3.029,56.408,134.874,5.060
37,2026-06-02T16:52:04,56.854,57.938,134.813,6.081
38,2026-06-02T16:52:04,5.741,55.243,142.119,5.663
39,2026-06-02T16:52:04,2.996,51.263,124.531,5.674
40,2026-06-02T16:52:05,285.569,57.429,114.451,5.990
41,2026-06-02T16:52:05,2.826,67.331,128.192,5.437
42,2026-06-02T16:52:05,2.855,55.346,124.803,4.807
43,2026-06-02T16:52:05,67.345,50.427,125.514,5.687
44,2026-06-02T16:52:05,3.558,47.745,124.543,5.809
45,2026-06-02T16:52:06,3.181,52.304,110.666,6.303
46,2026-06-02T16:52:06,69.368,54.017,117.754,6.598
47,2026-06-02T16:52:06,3.128,53.877,123.106,6.224
48,2026-06-02T16:52:06,13.143,46.284,121.440,4.775
49,2026-06-02T16:52:06,59.629,64.251,124.641,6.130
50,2026-06-02T16:52:06,69.758,44.844,113.379,5.097
51,2026-06-02T16:52:07,3.044,50.699,118.224,5.871
52,2026-06-02T16:52:07,2.937,54.218,121.849,5.532
53,2026-06-02T16:52:07,3.379,50.457,118.432,5.280
54,2026-06-02T16:52:07,2.952,48.659,134.378,6.316
55,2026-06-02T16:52:07,3.221,55.680,122.125,6.936
56,2026-06-02T16:52:08,3.607,45.274,113.220,8.598
57,2026-06-02T16:52:08,2.884,48.491,117.521,5.398
58,2026-06-02T16:52:08,3.865,56.547,119.859,5.849
59,2026-06-02T16:52:08,99.899,48.682,121.009,7.064
60,2026-06-02T16:52:08,3.001,53.352,129.935,5.508
61,2026-06-02T16:52:09,3.284,43.675,121.384,5.444
62,2026-06-02T16:52:09,2.987,47.664,118.795,5.393
63,2026-06-02T16:52:09,3.204,47.569,123.219,4.959
64,2026-06-02T16:52:09,85.187,47.074,117.723,7.670
65,2026-06-02T16:52:09,3.309,47.490,136.097,5.344
66,2026-06-02T16:52:09,2.888,57.811,121.243,5.798
67,2026-06-02T16:52:10,2.986,49.936,129.175,5.703
68,2026-06-02T16:52:10,3.042,53.742,121.582,5.296
69,2026-06-02T16:52:10,3.255,46.430,121.471,6.148
70,2026-06-02T16:52:10,3.180,52.226,111.551,5.665
71,2026-06-02T16:52:10,9.899,62.759,119.186,5.965
72,2026-06-02T16:52:11,20.249,56.564,122.619,5.725
73,2026-06-02T16:52:11,92.694,56.227,122.952,5.228
74,2026-06-02T16:52:11,78.174,55.039,127.987,6.248
75,2026-06-02T16:52:11,67.944,52.749,117.805,5.413
76,2026-06-02T16:52:11,2.924,50.134,130.823,5.255
77,2026-06-02T16:52:11,2.924,52.178,121.437,5.860
78,2026-06-02T16:52:12,2.992,54.363,119.453,5.792
79,2026-06-02T16:52:12,66.299,49.056,113.537,5.781
80,2026-06-02T16:52:12,64.022,53.766,111.845,7.084
81,2026-06-02T16:52:12,63.431,48.086,110.157,6.034
82,2026-06-02T16:52:12,69.516,48.636,128.755,5.572
83,2026-06-02T16:52:13,3.376,53.106,114.869,5.860
84,2026-06-02T16:52:13,3.047,50.773,125.952,5.131
85,2026-06-02T16:52:13,3.742,49.295,121.622,6.101
86,2026-06-02T16:52:13,3.203,58.943,118.141,5.447
87,2026-06-02T16:52:13,2.977,48.869,127.057,5.474
88,2026-06-02T16:52:14,2.960,47.966,116.610,5.889
89,2026-06-02T16:52:14,3.110,51.714,119.884,6.556
90,2026-06-02T16:52:14,3.826,49.448,124.232,5.939
91,2026-06-02T16:52:14,77.302,53.481,108.819,5.494
92,2026-06-02T16:52:14,55.719,49.452,123.864,5.396
93,2026-06-02T16:52:15,3.111,67.660,124.969,5.811
94,2026-06-02T16:52:15,3.008,58.463,117.935,5.939
95,2026-06-02T16:52:15,68.044,50.580,122.598,5.767
96,2026-06-02T16:52:15,16.795,49.912,119.935,5.280
97,2026-06-02T16:52:15,2.936,48.345,130.850,5.759
98,2026-06-02T16:52:15,2.935,50.397,125.505,6.230
99,2026-06-02T16:52:16,3.047,51.027,118.165,6.223
100,2026-06-02T16:52:16,12.941,52.556,123.024,5.038
101,2026-06-02T16:52:16,21.314,48.002,125.570,5.791
102,2026-06-02T16:52:16,3.157,56.391,123.111,5.811
103,2026-06-02T16:52:16,3.163,60.496,122.181,5.912
104,2026-06-02T16:52:17,4.268,56.026,116.091,6.986
105,2026-06-02T16:52:17,3.018,47.862,125.162,5.146
106,2026-06-02T16:52:17,2.953,55.553,126.217,5.848
107,2026-06-02T16:52:17,127.447,49.609,124.349,5.768
108,2026-06-02T16:52:17,3.012,46.024,128.762,6.005
109,2026-06-02T16:52:18,3.029,48.365,124.836,6.006
110,2026-06-02T16:52:18,3.321,55.166,116.001,6.236
111,2026-06-02T16:52:18,30.927,46.608,116.538,5.780
112,2026-06-02T16:52:18,98.440,57.426,114.941,5.448
113,2026-06-02T16:52:18,91.325,53.580,129.622,5.100
114,2026-06-02T16:52:19,64.601,76.418,121.657,5.860
115,2026-06-02T16:52:19,92.210,50.261,125.871,5.754
116,2026-06-02T16:52:19,33.232,50.003,116.863,5.959
117,2026-06-02T16:52:19,27.590,50.999,128.859,5.956
118,2026-06-02T16:52:19,72.614,56.445,118.534,6.354
119,2026-06-02T16:52:20,194.501,51.690,120.230,6.312
120,2026-06-02T16:52:20,3.146,46.886,119.289,6.000
121,2026-06-02T16:52:20,2.953,52.952,124.754,5.317
122,2026-06-02T16:52:20,3.318,52.759,122.725,5.949
123,2026-06-02T16:52:20,94.270,53.599,113.371,5.682
124,2026-06-02T16:52:21,3.273,44.810,120.677,5.287
125,2026-06-02T16:52:21,2.745,49.183,117.001,5.842
126,2026-06-02T16:52:21,3.168,48.035,113.546,5.633
127,2026-06-02T16:52:21,3.310,53.659,116.573,5.157
128,2026-06-02T16:52:21,3.321,51.338,119.341,5.963
129,2026-06-02T16:52:21,3.072,54.264,122.347,5.782
130,2026-06-02T16:52:22,3.220,50.432,125.978,6.094
131,2026-06-02T16:52:22,2.749,50.806,117.406,8.892
132,2026-06-02T16:52:22,6.067,50.123,120.956,5.809
133,2026-06-02T16:52:22,3.290,42.979,129.066,5.455
134,2026-06-02T16:52:22,141.074,46.196,122.059,5.655
135,2026-06-02T16:52:23,2.848,53.758,119.347,5.806
136,2026-06-02T16:52:23,3.179,56.383,123.165,5.121
137,2026-06-02T16:52:23,3.068,45.836,127.201,5.304
138,2026-06-02T16:52:23,5.854,53.900,118.973,6.800
139,2026-06-02T16:52:23,98.086,49.838,117.582,6.315
140,2026-06-02T16:52:24,106.249,49.061,123.977,5.357
141,2026-06-02T16:52:24,3.062,59.139,122.974,6.247
142,2026-06-02T16:52:24,85.736,60.737,122.365,5.258
143,2026-06-02T16:52:24,3.216,50.568,125.456,5.841
144,2026-06-02T16:52:24,13.853,55.130,120.415,5.875
145,2026-06-02T16:52:24,3.000,53.780,119.871,6.063
146,2026-06-02T16:52:25,57.526,47.717,123.100,5.028
147,2026-06-02T16:52:25,2.898,50.567,136.151,5.406
148,2026-06-02T16:52:25,59.790,46.403,118.450,5.213
149,2026-06-02T16:52:25,3.387,55.799,125.556,6.072
150,2026-06-02T16:52:25,43.860,52.636,119.932,6.415
151,2026-06-02T16:52:26,5.933,50.996,121.447,5.449
152,2026-06-02T16:52:26,3.227,53.656,119.131,5.958
153,2026-06-02T16:52:26,62.097,58.013,110.660,5.818
154,2026-06-02T16:52:26,61.708,53.767,119.787,5.398
155,2026-06-02T16:52:26,3.142,47.606,116.233,5.520
156,2026-06-02T16:52:26,3.028,49.609,117.080,6.036
157,2026-06-02T16:52:27,48.538,44.158,123.070,5.987
158,2026-06-02T16:52:27,3.258,64.018,116.604,6.175
159,2026-06-02T16:52:27,3.123,53.236,128.120,6.111
160,2026-06-02T16:52:27,10.270,51.861,120.102,5.977
161,2026-06-02T16:52:27,49.656,51.061,132.359,5.762
162,2026-06-02T16:52:28,21.674,51.148,126.570,5.897
163,2026-06-02T16:52:28,110.917,51.101,119.793,5.177
164,2026-06-02T16:52:28,316.818,61.931,120.408,6.160
165,2026-06-02T16:52:28,20.712,51.146,132.903,5.953
166,2026-06-02T16:52:28,39.594,50.452,111.824,5.403
167,2026-06-02T16:52:29,78.295,56.720,117.361,6.051
168,2026-06-02T16:52:29,2.984,51.472,121.269,6.182
169,2026-06-02T16:52:29,3.763,58.309,124.674,6.119
170,2026-06-02T16:52:29,7.278,48.082,117.585,5.266
171,2026-06-02T16:52:29,3.088,52.765,124.099,6.566
172,2026-06-02T16:52:29,24.177,47.775,121.336,5.312
173,2026-06-02T16:52:30,7.197,50.621,125.362,5.774
174,2026-06-02T16:52:30,3.251,55.051,124.782,5.537
175,2026-06-02T16:52:30,2.943,53.469,123.898,6.142
176,2026-06-02T16:52:30,2.999,44.749,128.281,5.863
177,2026-06-02T16:52:30,3.592,49.567,123.123,5.835
178,2026-06-02T16:52:31,2.874,54.294,119.443,5.792
179,2026-06-02T16:52:31,86.863,49.099,118.062,6.366
180,2026-06-02T16:52:31,81.594,50.460,118.066,6.090
181,2026-06-02T16:52:31,2.949,58.548,121.382,6.007
182,2026-06-02T16:52:31,2.895,52.896,111.338,5.799
183,2026-06-02T16:52:31,96.988,57.842,122.353,5.825
184,2026-06-02T16:52:32,3.178,51.787,130.497,7.060
